name_of_drug,use_case_for_drug,review_by_patient
Ethinyl estradiol / levonorgestrel,Birth Control,"""Wanted a low dose oral BC after being off for about a year &amp; a half. Was rx&#039;d Sronyx from PP. I wanted low dose because I&#039;ve dealt with depression before. This pill made me absolutely crazy. I felt ok the first week but I&#039;ve never been more irritable, moody &amp; depressed. I&#039;ve had anxiety &amp; literally feel like another person. Can&#039;t wait for this to clear my system"""
Levomilnacipran,Depression,"""I&#039;ve taken several different SSRIs and SNRI&#039;s. This medication is the worst I have even taken. It makes me feel worse than I felt before I started taking anything at all - sweating, hot flashes, my mouth constantly tastes like I drank salt water, constipated, bloated, nausea, exhausted. You name It. EXTREME RAGE!!!! stay away from this med. it&#039;s a scary thing"""
Nature-Throid,Hashimoto's disease,"""I was on Synthroid and Cytomel for many years but my symptoms were never alleviated until I started Nature-Throid.  I&#039;m most pleased that my depression and foggy headiness were gone shortly after starting it.  I continue to see improvements in my energy levels and weight loss."""
Tegretol XR,Bipolar Disorde,"""This is only medicine that works for me."""
Naprelan,Sciatica,"""I am currently taking Celebrex and Prednisone for my Sciatica, 12 days now and no relief. Desperate for pain relief I took 1 naproxen 500mg. Thank God I did.
 
The pill is a little hard to swallow, and it may make you a little nauseous but it will definitely ease the pain and will allow you to get some much needed sleep."""
Clonazepam,Seizure Prevention,"""Sleepiness memory loss."""
Naproxen,Osteoarthritis,"""If you have any kind of stomach problems, these kind of medications aren&#039;t for you. It only relieved about 10-20% of my pain &amp; hurt my stomach in the process."""
Ondansetron,Nausea/Vomiting,"""Zofran saved my life; literally. My morning sickness was horrendous, and this is the only thing that made me feel great!"""
Ocella,Birth Control,"""This may be premature I&#039;ve only been on it for a week, but I have been super moody. Irritable, cried 3x in past week and have developed a lot of pimples on my forehead and nose. I usually never break out only when on my period and not as much as this. I also am highly anxious...I&#039;m an anxious person to begin with but with the pill for this week I&#039;ve been near panic attack a lot and that hasn&#039;t happened in a decade. I&#039;m
Hoping my body gets used to the pill and these awful side effects will go away. Will update after the month"""
Etonogestrel,Birth Control,"""I had Nexplanon inserted Oct 26th 2016. I haven&#039;t had a period since December, which will always worry me. Plus side I haven&#039;t had any reasonable weight gain from insert. Downsides are the depression, mood swings, and my acne (I haven&#039;t had since high school) came back. I haven&#039;t lost sex drive. But I have pregnancy symptoms (per usual for most BC&#039;s). The biggest concern for me is getting no periods at all. Eventually if mood swing/depression worsens I will probably have insert removed with my GC."""
Betamethasone / calcipotriene,Psoriasis,"""Works much better then anything I have ever tried for my psoriasis.  The flaking from my scalp is probably reduced by 98%."""
Prozac,Anxiety and Stress,"""This medicine has been a life saver for me. It is the only antidepressant that has worked. I lost weight on it (which I needed to), feel less stressed, can handle stress, thoughts are not obsessive anymore, I laugh more and interact more with friends. I don&#039;t feel scared everyday. If you are thinking of taking it, give it at least 4-6 weeks to kick it. It&#039;s worth it."""
Docosanol,Herpes Simplex,"""Cold sores last up to 1 week to even 2 weeks if you don&#039;t use treatment. By using Abreva, you can shorten that time to around 4-6 days. Abreva isn&#039;t used to lower your cold sore nor get rid of it completely after only a couple of uses. It&#039;s used to shorten the length of your cold sore, very effectively."""
Gildess Fe 1.5 / 30,Birth Control,"""This birth control is AWFUL. My boobs hurt literally all of the time. My face is constantly breaking out and I&#039;m gaining a lot of weight. (Could be hormonal but none of the other birth control I&#039;ve been on have done this). My cramps are terrible and my period is light."""
Tamsulosin,Benign Prostatic Hyperplasia,"""I had severe urination problems at 64to 65 years of age. I couldn&#039;t hardly urinate when I wanted where I wanted. It was painful to urinate and could not empty out. I saw a urologist and had a camera stuck up my penis. My prostate is the size of battleship.  I have been taking this tamsulosin for nine months and it has made it so I can urinate with out pain. It has been great. Side effects are not so. Retrograde ejaculation takes the fun out of orgasm.   Sleepy and listless often.  I think I am going to have surgery to ream out the prostate, and have been weighing the  issues.  You might as well try this stuff on and make your own decision. For now, it sure has helped.    Before, I had to get up three or four times a night to pee a little."""
Xeloda,"Breast Cancer, Metastatic","""I am thankful this drug didn&#039;t kill me!  After taking this drug for 8 days the side effects started and went from bad to worse...blisters on hands, and hands and feet as well as every fold in my skin turned black and I had severe diahrea, that ended up putting me in the hospital for 6 days.  The medicine reacted to my colon and it was wide open, couldn&#039;t hold anything down, lost 17 pounds is 7 days, although the weight loss was welcomed, I wouldn&#039;t suggest going about it this way.  I stuck it out for the full 14 day regime and my doctor believes that with taking the drug for the first cycle hopefully it shrunk some of the tumors which are in my jaw, spine, collar bone and left femur.  New treatmen coming after I recover from Xeloda!"""
Sodium oxybate,ibromyalgia,"""Better sleep less PAIN"""
Delsym,Cough,"""This cough medicine was not only ineffective, the grape  taste and consistency was awful.  Waste of money."""
Ethinyl estradiol / norethindrone,Birth Control,"""Hi Judy ....do you think I should accept this ....

I was on this pill to help with ovarian cysts and heavy periods. I&#039;d give it a 10 out of 10 for helping with those!!! However, I took it EVERY DAY at the SAME TIME for the last three years and am 7 months pregnant. I don&#039;t trust it as a birth control at ALL!"""
Relafen,Sciatica,"""A good initial substitute for ibuprofen to keep symptoms at a minimum."""
Zolpidem,Insomnia,"""My son who is 16 years was given this medication and it worked very well with Seroquel 25 mg at night. This has saved the life of our family. Such a beautiful thing to see my very hyperactive son sleeping deeply."""
Linzess,"Constipation, Chronic","""Just started last week. So far I love it. I have been going for colonics every 10 days just to empty because I could no longer do it myself. My doctor even suggested removing my large intestine due to nerve damage and lack of motility. I am so glad I tried this drug first. I take it at bedtime and I do get up a few hours later and have watery stools but I will take that over getting up all night and pushing myself inside out with no results. A lot of people writing about how it interferes with their mornings so maybe they should take it at a different time and that may help. I never knew that so many people had the same exact problems with constipation like me. Thank you to everybody who took time to post. I don&#039;t feel so alone now."""
